epoch,mAP@50,mAP
001,0.096,0.044
002,0.178,0.086
003,0.232,0.117
004,0.278,0.143
005,0.308,0.161
006,0.327,0.174
007,0.339,0.180
008,0.351,0.188
009,0.358,0.192
010,0.364,0.196
011,0.367,0.199
012,0.371,0.201
013,0.375,0.203
014,0.378,0.205
015,0.380,0.206
016,0.382,0.207
017,0.385,0.209
018,0.386,0.210
019,0.387,0.211
020,0.389,0.212
021,0.390,0.213
022,0.392,0.213
023,0.393,0.214
024,0.395,0.215
025,0.396,0.216
026,0.398,0.217
027,0.399,0.218
028,0.400,0.219
029,0.402,0.220
030,0.403,0.221
031,0.405,0.222
032,0.407,0.223
033,0.408,0.223
034,0.409,0.224
035,0.410,0.225
036,0.412,0.226
037,0.413,0.227
038,0.414,0.228
039,0.415,0.229
040,0.416,0.230
041,0.416,0.230
042,0.418,0.231
043,0.419,0.232
044,0.420,0.232
045,0.421,0.233
046,0.422,0.234
047,0.424,0.234
048,0.424,0.235
049,0.424,0.235
050,0.425,0.236
051,0.426,0.236
052,0.426,0.237
053,0.427,0.237
054,0.429,0.238
055,0.429,0.238
056,0.430,0.239
057,0.431,0.239
058,0.432,0.240
059,0.433,0.240
060,0.434,0.240
061,0.434,0.241
062,0.434,0.241
063,0.435,0.241
064,0.436,0.242
065,0.436,0.242
066,0.437,0.242
067,0.437,0.242
068,0.437,0.242
069,0.437,0.242
070,0.438,0.243
071,0.438,0.243
072,0.439,0.243
073,0.439,0.243
074,0.440,0.244
075,0.441,0.244
076,0.441,0.245
077,0.441,0.245
078,0.442,0.245
079,0.442,0.246
080,0.442,0.246
081,0.442,0.246
082,0.443,0.246
083,0.444,0.246
084,0.444,0.247
085,0.444,0.247
086,0.444,0.247
